Run ID,Name,Source Type,Source Name,User,Status,C,break_ties,cache_size,class_weight,coef0,decision_function_shape,degree,gamma,kernel,max_iter,probability,random_state,shrinking,tol,verbose,accuracy_score_X_test,model_size,test_acc,training_accuracy_score,training_f1_score,training_precision_score,training_recall_score,training_score,training_time,estimator_class,estimator_name
075a5cc942f340b5924925e96eaaa470,"kernel: sigmoid, max_iter: 10000",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,sigmoid,10000,False,None,True,0.001,False,0.5823303457106274,10590968,0.5823303457106274,0.5846565080991101,0.5800146797489155,0.5809572162054162,0.5846565080991101,0.5846565080991101,508.62105083465576,sklearn.svm._classes.SVC,SVC
9e9a963dd0db4c2c9fe43af4d36daa25,"kernel: sigmoid, max_iter: 5000",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,sigmoid,5000,False,None,True,0.001,False,0.5827144686299616,10548472,0.5827144686299616,0.5853447723925987,0.5807630678101697,0.582271532893065,0.5853447723925987,0.5853447723925987,487.34011006355286,sklearn.svm._classes.SVC,SVC
5525c4c685564ebc93b00ecec0e57e6f,"kernel: sigmoid, max_iter: 2000",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,sigmoid,2000,False,None,True,0.001,False,0.5069142125480154,6537580,0.5069142125480154,0.5096677124015622,0.49767844315351223,0.5033474298127689,0.5096677124015622,0.5096677124015622,273.856586933136,sklearn.svm._classes.SVC,SVC
4c47958242f64f2799d350e11d0d45cb,"kernel: rbf, max_iter: 10000",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,rbf,10000,False,None,True,0.001,False,0.9774007682458387,4663095,0.9774007682458387,0.9800403354888277,0.9800256705665212,0.9800624642439277,0.9800403354888277,0.9800403354888277,518.2772252559662,sklearn.svm._classes.SVC,SVC
7b3c4605a4b043dba2bed74e1976f05b,"kernel: rbf, max_iter: 5000",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,rbf,5000,False,None,True,0.001,False,0.9774007682458387,4670399,0.9774007682458387,0.980056341635188,0.9800417721671,0.9800785411491022,0.980056341635188,0.980056341635188,523.9220221042633,sklearn.svm._classes.SVC,SVC
c6b317906bf6402087c9384cd8734cc6,"kernel: rbf, max_iter: 2000",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,rbf,2000,False,None,True,0.001,False,0.9772087067861716,4410111,0.9772087067861716,0.9799442986106665,0.9799295324117024,0.9799678697670245,0.9799442986106665,0.9799442986106665,475.97706413269043,sklearn.svm._classes.SVC,SVC
2c34f58e606b4cffa2035df0a38748d7,"kernel: poly, max_iter: 10000",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,poly,10000,False,None,True,0.001,False,0.9778489116517286,4240460,0.9778489116517286,0.9818170177348101,0.981803933603634,0.9818688320632255,0.9818170177348101,0.9818170177348101,130.80794596672058,sklearn.svm._classes.SVC,SVC
37e999d17a3b46658b8604f6c87ea431,"kernel: poly, max_iter: 5000",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,poly,5000,False,None,True,0.001,False,0.9777208706786171,4247432,0.9777208706786171,0.9818170177348101,0.9818041615601798,0.9818742113164898,0.9818170177348101,0.9818170177348101,128.26065468788147,sklearn.svm._classes.SVC,SVC
fee6c1ae59934574802dc26b8c036cce,"kernel: poly, max_iter: 2000",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,poly,2000,False,None,True,0.001,False,0.9776568501920615,3935684,0.9776568501920615,0.9819450669056918,0.9819318935289538,0.9820042639690665,0.9819450669056918,0.9819450669056918,113.07003474235535,sklearn.svm._classes.SVC,SVC
6489430144e24e8fa1e46a239d92571b,"kernel: linear, max_iter: 10000",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,linear,10000,False,None,True,0.001,False,0.4197183098591549,9215823,0.4197183098591549,0.4153434919008899,0.39646089533608625,0.4056122306297258,0.4153434919008899,0.4153434919008899,384.02136611938477,sklearn.svm._classes.SVC,SVC
c6642eac1eb243a8be0be54106ca4dc1,"kernel: linear, max_iter: 5000",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,linear,5000,False,None,True,0.001,False,0.4093469910371319,6963203,0.4093469910371319,0.399129265638005,0.4012985127138497,0.44302480027675045,0.399129265638005,0.399129265638005,275.8577358722687,sklearn.svm._classes.SVC,SVC
769277948f03422ab9506204275c4c4f,"kernel: linear, max_iter: 2000",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,linear,2000,False,None,True,0.001,False,0.3583226632522407,4338734,0.3583226632522407,0.3572891990524361,0.3451663998930663,0.34981734969129336,0.3572891990524361,0.3572891990524361,139.46122074127197,sklearn.svm._classes.SVC,SVC
bba365118055413b83f1494ac40e7a03,"kernel: sigmoid, max_iter: 1000",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,sigmoid,1000,False,None,True,0.001,False,0.4772727272727273,4136879,0.4772727272727273,0.47837569626736665,0.4325614529297793,0.4886838252645905,0.47837569626736665,0.47837569626736665,145.14501023292542,sklearn.svm._classes.SVC,SVC
1efe54da35714809b11e99c441d242ee,"kernel: sigmoid, max_iter: 100",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,sigmoid,100,False,None,True,0.001,False,0.26901408450704223,601078,0.26901408450704223,0.2663262692874064,0.2138907478620869,0.35485739039412373,0.2663262692874064,0.2663262692874064,21.62885618209839,sklearn.svm._classes.SVC,SVC
54f35521d68945c59e1d81e346497d16,"kernel: sigmoid, max_iter: 50",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,sigmoid,50,False,None,True,0.001,False,0.27304737516005123,317541,0.27304737516005123,0.26923938792496316,0.19670603546667423,0.32157298253828637,0.26923938792496316,0.26923938792496316,13.015153884887695,sklearn.svm._classes.SVC,SVC
acd50bc807204843bc916d2c9e0d8b13,"kernel: sigmoid, max_iter: 10",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,sigmoid,10,False,None,True,0.001,False,0.21286811779769527,75842,0.21286811779769527,0.20963249887956975,0.2006945531803298,0.2991300268190123,0.20963249887956975,0.20963249887956975,5.150092840194702,sklearn.svm._classes.SVC,SVC
ea675dfe00da4fc8abaff752639b3c20,"kernel: rbf, max_iter: 1000",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,rbf,1000,False,None,True,0.001,False,0.9781049935979513,3294259,0.9781049935979513,0.9816889685639285,0.9816868316695182,0.9817137371095639,0.9816889685639285,0.9816889685639285,327.72408509254456,sklearn.svm._classes.SVC,SVC
414cd397ca1442b9824203986bde7e20,"kernel: rbf, max_iter: 100",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,rbf,100,False,None,True,0.001,False,0.6832906530089629,619002,0.6832906530089629,0.6817017734810167,0.6716705468545309,0.6953995295990905,0.6817017734810167,0.6817017734810167,63.524430990219116,sklearn.svm._classes.SVC,SVC
8e208d203e84459aaab2db5b39b8de54,"kernel: rbf, max_iter: 50",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,rbf,50,False,None,True,0.001,False,0.6665813060179258,337125,0.6665813060179258,0.6662398360970613,0.6597739909344634,0.6981967478725863,0.6662398360970613,0.6662398360970613,34.3769850730896,sklearn.svm._classes.SVC,SVC
c138b376270441869d4b8d524788f540,"kernel: rbf, max_iter: 10",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,rbf,10,False,None,True,0.001,False,0.48072983354673493,80818,0.48072983354673493,0.4769191369485883,0.46678767805423865,0.48086519394993127,0.4769191369485883,0.4769191369485883,9.832736015319824,sklearn.svm._classes.SVC,SVC
26d8bf2827fe4cab88bc0fd51ed8a0f4,"kernel: poly, max_iter: 1000",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,poly,1000,False,None,True,0.001,False,0.8763764404609475,2973880,0.8763764404609475,0.878481336833344,0.8730377679046474,0.9127895142582938,0.878481336833344,0.878481336833344,84.77355122566223,sklearn.svm._classes.SVC,SVC
7584e29f610f4a4d9e76a03f856baf21,"kernel: poly, max_iter: 100",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,poly,100,False,None,True,0.001,False,0.2610755441741357,560903,0.2610755441741357,0.25566617581151163,0.21459358318880897,0.2978417172491404,0.25566617581151163,0.25566617581151163,17.590957641601562,sklearn.svm._classes.SVC,SVC
8b15425ea40248049a4a3efdd88606b9,"kernel: poly, max_iter: 50",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,poly,50,False,None,True,0.001,False,0.28713188220230473,321854,0.28713188220230473,0.2847653498943594,0.26177838285662314,0.2949755686457082,0.2847653498943594,0.2847653498943594,11.26900577545166,sklearn.svm._classes.SVC,SVC
9ed3a52c5fba42ce81b57dcc89014dcb,"kernel: poly, max_iter: 10",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,poly,10,False,None,True,0.001,False,0.18892445582586428,75175,0.18892445582586428,0.18525513797298163,0.17667022160993534,0.29212248857502493,0.18525513797298163,0.18525513797298163,4.699238061904907,sklearn.svm._classes.SVC,SVC
b5c59fa0caaf44a8a4983ab5c7f85772,"kernel: linear, max_iter: 1000",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,linear,1000,False,None,True,0.001,False,0.4000640204865557,2849714,0.4000640204865557,0.39394327421729947,0.39033759288445086,0.406028528501009,0.39394327421729947,0.39394327421729947,74.80966782569885,sklearn.svm._classes.SVC,SVC
be04954cfab3456bb0065a159ecff8cd,"kernel: linear, max_iter: 100",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,linear,100,False,None,True,0.001,False,0.19865556978233034,529024,0.19865556978233034,0.19863627633011077,0.20008367917397074,0.29109170476514684,0.19863627633011077,0.19863627633011077,15.494512796401978,sklearn.svm._classes.SVC,SVC
ec94bfcb587948c6844041dafb86b91c,"kernel: linear, max_iter: 50",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,linear,50,False,None,True,0.001,False,0.29231754161331625,302932,0.29231754161331625,0.2906556117549139,0.2936954618708241,0.29998825195982737,0.2906556117549139,0.2906556117549139,9.873533010482788,sklearn.svm._classes.SVC,SVC
b1739d54a8364a30bc3ef1c97395d85f,"kernel: linear, max_iter: 10",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,linear,10,False,None,True,0.001,False,0.31971830985915495,75509,0.31971830985915495,0.3184102695435047,0.317889833629606,0.34431274027379327,0.3184102695435047,0.3184102695435047,4.45428991317749,sklearn.svm._classes.SVC,SVC
