,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,65.0,5,0.0009355439999580994,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 1]",True,5,0.1,1000
1,1000,54.0,3012,10.913781873000062,"[2.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 2.0, 2.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 0.0, 0.0, 2.0, 1.0, 2.0, 1.0, 0.0, 1.0, 2.0, 1.0, 2.0, 0.0, 0.0, 2.0, 2.0, 1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.0, 2.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 0.0, 0.0, 2.0, 1.0, 2.0, 1.0, 0.0, 2.0, 1.0, 2.0, 0.0]",True,5,0.1,1000
2,0,65.0,5,0.0006801819999964209,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 1]",True,5,0.3,1000
3,1000,54.0,3012,10.901148540999884,"[2.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 2.0, 2.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 0.0, 0.0, 2.0, 1.0, 2.0, 1.0, 0.0, 1.0, 2.0, 1.0, 2.0, 0.0, 0.0, 2.0, 2.0, 1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.0, 2.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 0.0, 0.0, 2.0, 1.0, 2.0, 1.0, 0.0, 2.0, 1.0, 2.0, 0.0]",True,5,0.3,1000
4,0,65.0,5,0.0006965509999190544,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 1]",True,5,0.5,1000
5,1000,54.0,3012,10.877011849999917,"[2.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 2.0, 2.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 0.0, 0.0, 2.0, 1.0, 2.0, 1.0, 0.0, 1.0, 2.0, 1.0, 2.0, 0.0, 0.0, 2.0, 2.0, 1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.0, 2.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 0.0, 0.0, 2.0, 1.0, 2.0, 1.0, 0.0, 2.0, 1.0, 2.0, 0.0]",True,5,0.5,1000
6,0,65.0,10,0.0013915689999066672,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 1]",True,10,0.1,1000
7,1000,54.0,5522,11.651199083999927,"[2.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 2.0, 2.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 0.0, 0.0, 2.0, 1.0, 2.0, 1.0, 0.0, 1.0, 2.0, 1.0, 2.0, 0.0, 0.0, 2.0, 2.0, 1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.0, 2.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 0.0, 0.0, 2.0, 1.0, 2.0, 1.0, 0.0, 2.0, 1.0, 2.0, 0.0]",True,10,0.1,1000
8,0,65.0,10,0.0011490689998936432,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 1]",True,10,0.3,1000
9,1000,54.0,5522,11.643779678999863,"[2.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 2.0, 2.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 0.0, 0.0, 2.0, 1.0, 2.0, 1.0, 0.0, 1.0, 2.0, 1.0, 2.0, 0.0, 0.0, 2.0, 2.0, 1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.0, 2.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 0.0, 0.0, 2.0, 1.0, 2.0, 1.0, 0.0, 2.0, 1.0, 2.0, 0.0]",True,10,0.3,1000
10,0,65.0,10,0.0011539319998519204,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 1]",True,10,0.5,1000
11,1000,49.0,5522,11.730204791000006,"[2.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 1.0, 2.0, 1.0, 2.0, 2.0, 0.0, 2.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 2.0, 2.0, 1.0, 2.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 2.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 1.0, 0.0, 2.0, 0.0, 2.0, 1.0, 1.0, 2.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 2.0, 2.0, 1.0, 0.0, 1.0, 0.0, 1.0, 2.0, 2.0, 1.0, 0.0, 0.0]",True,10,0.5,1000
12,0,65.0,50,0.00456160900012037,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 1]",True,50,0.1,1000
13,1000,41.0,25602,18.66126247400007,"[2.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0, 1.0, 2.0, 2.0, 0.0, 1.0, 2.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.0, 2.0, 1.0, 2.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 0.0, 1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 0.0, 0.0, 2.0, 1.0, 2.0, 1.0, 0.0, 1.0, 2.0, 0.0, 2.0, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 2.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 2.0, 2.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 1.0, 0.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 2.0]",True,50,0.1,1000
14,0,65.0,50,0.004978071000095952,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 1]",True,50,0.3,1000
15,1000,27.0,26528,19.416012661999957,"[2.0, 0.0, 1.0, 0.0, 2.0, 1.0, 2.0, 1.0, 2.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 0.0, 1.0, 2.0, 1.0, 0.0, 1.0, 2.0, 1.0, 0.0, 2.0, 2.0, 2.0, 1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 2.0, 0.0, 1.0, 1.0, 2.0, 0.0, 0.0, 2.0, 2.0, 2.0, 1.0, 2.0, 1.0, 0.0, 0.0, 1.0, 1.0, 2.0, 1.0, 0.0, 2.0, 0.0, 0.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 2.0, 0.0, 1.0, 1.0, 0.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0]",True,50,0.3,1000
16,0,65.0,50,0.00459268500003418,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 1]",True,50,0.5,1000
17,1000,29.0,28008,21.848541547999957,"[2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 0.0, 1.0, 0.0, 0.0, 2.0, 1.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 0.0, 2.0, 1.0, 2.0, 1.0, 0.0, 2.0, 1.0, 1.0, 0.0, 1.0, 2.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 1.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 1.0, 2.0, 2.0, 0.0, 0.0, 2.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 2.0, 1.0, 2.0, 0.0, 0.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0]",True,50,0.5,1000
