,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,65.0,0,0.0002767910000329721,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 1]",0,1000,0
1,1000,12.0,1036,0.3428479160000961,"[0, 0, 0, 0, 1, 2, 2, 0, 1, 0, 1, 1, 1, 2, 1, 1, 0, 2, 2, 0, 2, 0, 1, 2, 2, 0, 0, 0, 1, 2, 1, 2, 2, 0, 0, 2, 2, 0, 0, 0, 1, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 2, 0, 0, 0, 1, 0, 0, 1, 1, 2, 1, 1, 2, 0, 2, 0, 0, 0, 2, 1, 2, 0, 0, 1, 1, 2, 0, 0, 0, 0, 1, 2, 2, 1, 1, 1, 1, 0, 2, 1, 2, 2, 1, 2, 1]",0,1000,0
2,0,65.0,0,0.00022422399990773556,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 1]",2,1000,0
3,1000,12.0,1036,0.3374251359999789,"[0, 0, 0, 0, 1, 2, 2, 0, 1, 0, 1, 1, 1, 2, 1, 1, 0, 2, 2, 0, 2, 0, 1, 2, 2, 0, 0, 0, 1, 2, 1, 2, 2, 0, 0, 2, 2, 0, 0, 0, 1, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 2, 0, 0, 0, 1, 0, 0, 1, 1, 2, 1, 1, 2, 0, 2, 0, 0, 0, 2, 1, 2, 0, 0, 1, 1, 2, 0, 0, 0, 0, 1, 2, 2, 1, 1, 1, 1, 0, 2, 1, 2, 2, 1, 2, 1]",2,1000,0
4,0,73.0,1036,0.3508052109999653,"[1, 1, 1, 0, 1, 0, 0, 2, 1, 1, 1, 0, 0, 1, 1, 2, 1, 2, 1, 0, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 1, 0, 2, 1, 1, 1, 2, 1, 0, 1, 1, 1, 2, 2, 1, 2, 0, 0, 2, 2, 0, 0, 0, 0, 2, 1, 0, 2, 0, 0, 1, 2, 2, 2, 1, 2, 2, 2, 0, 0, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0, 2, 2, 0, 0, 0, 1, 1, 0, 2, 2, 2, 0, 0, 0, 1, 2, 0, 2, 2, 1]",2,1000,1
5,1000,8.0,2086,1.1538267019999466,"[2, 1, 1, 1, 1, 0, 0, 1, 1, 1, 2, 0, 0, 1, 1, 2, 2, 0, 2, 0, 0, 0, 0, 2, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1, 0, 0, 2, 1, 0, 2, 0, 1, 2, 2, 2, 1, 1, 0, 0, 2, 1, 2, 0, 2, 2, 0, 0, 2, 1, 2, 1, 0, 2, 0, 1, 2, 0, 1, 0, 0, 0, 0, 1, 1, 2, 0, 1, 2, 1, 0, 2, 2, 0, 2, 2, 1, 1, 1, 0, 1, 1, 2, 1, 0, 1, 0, 0, 2, 2, 2]",2,1000,1
6,0,59.0,2086,1.17250065799999,"[0, 0, 0, 2, 1, 1, 0, 0, 2, 0, 1, 0, 0, 1, 1, 0, 1, 2, 2, 1, 2, 0, 2, 0, 1, 0, 0, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 2, 1, 2, 1, 0, 0, 1, 2, 2, 0, 0, 2, 0, 2, 2, 2, 1, 1, 1, 0, 1, 0, 1, 1, 2, 2, 2, 0, 0, 2, 0, 0, 2, 1, 0, 0, 2, 1, 0, 1, 2, 1, 2, 2, 1, 2, 0, 1, 2, 2, 0, 0, 1, 0]",2,1000,2
7,1000,6.0,3128,2.425053481999953,"[0, 0, 0, 1, 2, 1, 0, 0, 2, 0, 2, 0, 2, 0, 1, 0, 2, 2, 2, 1, 1, 0, 2, 0, 1, 1, 1, 2, 2, 1, 0, 2, 1, 2, 0, 2, 0, 2, 1, 0, 0, 1, 1, 1, 1, 2, 2, 1, 2, 1, 0, 2, 2, 2, 1, 2, 2, 0, 0, 0, 2, 0, 1, 1, 1, 1, 2, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 2, 1, 0, 1, 2, 1, 0, 0, 0, 2, 1, 2, 2, 2, 0, 0, 1, 2]",2,1000,2
8,0,65.0,0,0.0003017809999619203,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 1]",8,1000,0
9,1000,12.0,1036,0.3544434719999572,"[0, 0, 0, 0, 1, 2, 2, 0, 1, 0, 1, 1, 1, 2, 1, 1, 0, 2, 2, 0, 2, 0, 1, 2, 2, 0, 0, 0, 1, 2, 1, 2, 2, 0, 0, 2, 2, 0, 0, 0, 1, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 2, 0, 0, 0, 1, 0, 0, 1, 1, 2, 1, 1, 2, 0, 2, 0, 0, 0, 2, 1, 2, 0, 0, 1, 1, 2, 0, 0, 0, 0, 1, 2, 2, 1, 1, 1, 1, 0, 2, 1, 2, 2, 1, 2, 1]",8,1000,0
10,0,73.0,1036,0.38209565399995427,"[1, 1, 1, 0, 1, 0, 0, 2, 1, 1, 1, 0, 0, 1, 1, 2, 1, 2, 1, 0, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 1, 0, 2, 1, 1, 1, 2, 1, 0, 1, 1, 1, 2, 2, 1, 2, 0, 0, 2, 2, 0, 0, 0, 0, 2, 1, 0, 2, 0, 0, 1, 2, 2, 2, 1, 2, 2, 2, 0, 0, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0, 2, 2, 0, 0, 0, 1, 1, 0, 2, 2, 2, 0, 0, 0, 1, 2, 0, 2, 2, 1]",8,1000,1
11,1000,8.0,2086,1.1893737010000223,"[2, 1, 1, 1, 1, 0, 0, 1, 1, 1, 2, 0, 0, 1, 1, 2, 2, 0, 2, 0, 0, 0, 0, 2, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1, 0, 0, 2, 1, 0, 2, 0, 1, 2, 2, 2, 1, 1, 0, 0, 2, 1, 2, 0, 2, 2, 0, 0, 2, 1, 2, 1, 0, 2, 0, 1, 2, 0, 1, 0, 0, 0, 0, 1, 1, 2, 0, 1, 2, 1, 0, 2, 2, 0, 2, 2, 1, 1, 1, 0, 1, 1, 2, 1, 0, 1, 0, 0, 2, 2, 2]",8,1000,1
12,0,59.0,2086,1.2212325010000313,"[0, 0, 0, 2, 1, 1, 0, 0, 2, 0, 1, 0, 0, 1, 1, 0, 1, 2, 2, 1, 2, 0, 2, 0, 1, 0, 0, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 2, 1, 2, 1, 0, 0, 1, 2, 2, 0, 0, 2, 0, 2, 2, 2, 1, 1, 1, 0, 1, 0, 1, 1, 2, 2, 2, 0, 0, 2, 0, 0, 2, 1, 0, 0, 2, 1, 0, 1, 2, 1, 2, 2, 1, 2, 0, 1, 2, 2, 0, 0, 1, 0]",8,1000,2
13,1000,6.0,3128,2.4703464279999707,"[0, 0, 0, 1, 2, 1, 0, 0, 2, 0, 2, 0, 2, 0, 1, 0, 2, 2, 2, 1, 1, 0, 2, 0, 1, 1, 1, 2, 2, 1, 0, 2, 1, 2, 0, 2, 0, 2, 1, 0, 0, 1, 1, 1, 1, 2, 2, 1, 2, 1, 0, 2, 2, 2, 1, 2, 2, 0, 0, 0, 2, 0, 1, 1, 1, 1, 2, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 2, 1, 0, 1, 2, 1, 0, 0, 0, 2, 1, 2, 2, 2, 0, 0, 1, 2]",8,1000,2
14,0,67.0,3128,2.5082616189999953,"[2, 1, 2, 2, 1, 0, 0, 0, 0, 2, 1, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 0, 2, 0, 0, 1, 1, 2, 0, 0, 1, 2, 1, 1, 0, 2, 0, 1, 2, 0, 2, 1, 0, 0, 1, 2, 2, 2, 2, 1, 2, 0, 1, 2, 2, 2, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 2, 1, 1, 0, 0, 0, 1, 2, 2, 0, 2, 2, 0, 1, 1, 0, 1, 2, 0, 2, 0, 2, 2, 1, 2, 2, 0]",8,1000,3
15,1000,12.0,4170,4.225352601000054,"[0, 1, 2, 2, 2, 0, 2, 0, 0, 2, 1, 0, 1, 2, 0, 0, 2, 1, 0, 0, 2, 2, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 2, 2, 1, 2, 2, 1, 1, 0, 0, 2, 0, 0, 0, 0, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 2, 2, 0, 0, 0, 1, 1, 2, 2, 0, 2, 2, 0, 0, 1, 0, 1, 2, 0, 2, 1, 1, 2, 1, 2, 2, 0]",8,1000,3
16,0,58.0,4170,4.269071820000022,"[1, 1, 2, 1, 1, 1, 0, 1, 2, 2, 0, 1, 1, 1, 2, 2, 2, 2, 1, 0, 1, 2, 0, 2, 2, 0, 0, 2, 0, 0, 2, 2, 0, 1, 1, 2, 0, 0, 0, 0, 2, 2, 1, 0, 1, 2, 0, 1, 1, 1, 0, 1, 1, 2, 1, 2, 2, 0, 2, 2, 2, 2, 2, 1, 2, 0, 2, 0, 2, 1, 0, 0, 1, 2, 2, 1, 0, 0, 0, 2, 2, 0, 0, 1, 1, 2, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0, 0, 2, 2, 0]",8,1000,4
17,1000,9.0,5206,6.430862285999979,"[1, 0, 0, 1, 2, 1, 2, 2, 2, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 2, 1, 0, 0, 2, 2, 1, 1, 2, 0, 0, 0, 0, 2, 0, 1, 0, 0, 2, 1, 1, 2, 2, 0, 0, 1, 2, 1, 2, 2, 0, 2, 2, 2, 2, 2, 1, 2, 0, 2, 1, 0, 1, 1, 0, 1, 2, 1, 1, 1, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 2, 0, 1, 0, 2, 2, 2]",8,1000,4
18,0,59.0,5206,6.47925348900003,"[1, 1, 1, 1, 2, 0, 0, 0, 2, 1, 0, 2, 2, 2, 1, 0, 1, 0, 1, 0, 2, 0, 1, 2, 1, 1, 2, 2, 1, 2, 2, 0, 0, 0, 2, 1, 1, 1, 0, 1, 1, 2, 2, 1, 0, 0, 0, 2, 1, 0, 2, 0, 1, 0, 0, 2, 1, 2, 2, 0, 1, 2, 2, 2, 1, 1, 2, 1, 0, 2, 2, 0, 2, 1, 1, 2, 0, 0, 1, 0, 2, 0, 2, 0, 2, 1, 2, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 2, 1, 0]",8,1000,5
19,1000,10.0,6242,9.08019575100002,"[1, 1, 2, 1, 2, 0, 1, 0, 2, 2, 0, 0, 2, 2, 1, 2, 1, 0, 1, 2, 0, 0, 0, 2, 1, 1, 2, 1, 0, 2, 2, 0, 0, 0, 2, 0, 2, 1, 0, 1, 1, 2, 2, 1, 0, 0, 0, 1, 1, 0, 2, 0, 2, 1, 2, 2, 0, 2, 1, 1, 2, 1, 0, 2, 1, 1, 1, 2, 2, 1, 2, 0, 1, 1, 1, 0, 0, 1, 2, 0, 2, 0, 2, 0, 2, 1, 0, 0, 2, 1, 2, 0, 2, 0, 0, 0, 2, 1, 1, 0]",8,1000,5
20,0,71.0,6242,9.145659419000026,"[2, 0, 1, 0, 0, 1, 2, 1, 0, 1, 1, 0, 2, 0, 0, 0, 2, 0, 1, 0, 1, 1, 1, 0, 2, 0, 1, 1, 1, 0, 0, 0, 0, 2, 0, 0, 2, 1, 2, 1, 1, 0, 0, 2, 0, 1, 1, 1, 1, 2, 0, 2, 0, 1, 0, 2, 2, 0, 0, 1, 0, 0, 2, 2, 2, 1, 1, 0, 1, 0, 0, 2, 1, 2, 0, 1, 2, 2, 0, 0, 2, 1, 1, 0, 0, 0, 2, 2, 1, 0, 2, 2, 2, 1, 0, 0, 2, 1, 2, 2]",8,1000,6
21,1000,8.0,7289,12.189820055000041,"[2, 0, 2, 0, 2, 2, 2, 2, 0, 2, 2, 1, 1, 0, 0, 0, 2, 0, 1, 2, 2, 1, 1, 2, 2, 1, 1, 0, 1, 2, 0, 1, 2, 1, 0, 2, 2, 1, 2, 1, 2, 0, 1, 2, 0, 1, 1, 1, 1, 2, 2, 2, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 2, 0, 2, 1, 1, 0, 2, 1, 0, 1, 1, 2, 0, 0, 2, 1, 0, 1, 2, 1, 1, 2, 0, 0, 2, 2, 0, 0, 0, 2, 2, 2, 0, 2, 2, 0, 1, 1]",8,1000,6
22,0,77.0,7289,12.247464200999957,"[1, 2, 1, 1, 2, 0, 2, 1, 0, 2, 0, 0, 2, 1, 1, 2, 2, 1, 2, 1, 0, 2, 0, 2, 0, 1, 2, 2, 0, 2, 2, 1, 2, 0, 2, 0, 2, 2, 2, 2, 1, 2, 0, 0, 2, 0, 0, 2, 1, 1, 2, 2, 0, 2, 1, 1, 2, 0, 0, 1, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 0, 2, 0, 0, 2, 0, 0, 0, 1, 2, 1, 1, 1, 0, 1, 1, 2, 0, 0, 2, 0, 0, 2, 0, 1, 1, 2, 1, 1]",8,1000,7
23,1000,10.0,8336,15.749840034000044,"[1, 2, 2, 0, 1, 0, 2, 1, 0, 2, 1, 1, 0, 2, 2, 2, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 2, 0, 2, 2, 1, 1, 0, 2, 0, 2, 2, 0, 1, 2, 2, 2, 0, 1, 2, 1, 0, 1, 1, 2, 2, 0, 1, 1, 2, 2, 1, 0, 1, 2, 0, 1, 2, 2, 2, 2, 1, 0, 0, 0, 0, 2, 1, 0, 2, 0, 0, 0, 1, 2, 1, 2, 2, 0, 0, 1, 2, 0, 0, 2, 2, 0, 1, 0, 1, 1, 2, 2, 1]",8,1000,7
24,0,58.0,8336,15.809751477999953,"[1, 1, 2, 2, 2, 0, 0, 0, 0, 0, 1, 1, 2, 2, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 0, 0, 0, 2, 2, 0, 0, 1, 0, 2, 2, 0, 0, 1, 2, 0, 1, 1, 0, 1, 1, 2, 2, 0, 0, 0, 1, 2, 2, 1, 2, 0, 1, 2, 0, 1, 1, 1, 1, 2, 1, 2, 0, 1, 1, 1, 0, 2, 0, 2, 0, 0, 2, 2, 2, 2, 2, 0, 1, 2, 1, 1, 2, 2, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 2, 2]",8,1000,8
25,1000,8.0,9374,19.80802429400012,"[1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 1, 0, 2, 1, 0, 1, 1, 1, 1, 2, 2, 0, 2, 2, 2, 0, 2, 0, 2, 1, 0, 0, 0, 1, 2, 1, 0, 1, 0, 1, 2, 1, 2, 0, 0, 2, 1, 2, 0, 1, 2, 0, 2, 2, 0, 1, 0, 1, 1, 0, 0, 2, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 2, 2, 1, 2, 1, 2, 1, 1, 1, 2, 2, 0, 1, 2, 1, 0, 0, 0, 1, 0, 1, 2, 1]",8,1000,8
